"","year_data","country","name","CD_inc","UC_inc","CD_change_inc","UC_change_inc","CD_prev","UC_prev","CD_change_prev","UC_change_prev","stage","status","decade","CD_inc_impute","UC_inc_impute","CD_prev_impute","UC_prev_impute","CD_change_inc_impute","UC_change_inc_impute","CD_change_prev_impute","UC_change_prev_impute","CD_inc_ind","UC_inc_ind","CD_prev_ind","UC_prev_ind","CD_change_inc_ind","UC_change_inc_ind","CD_change_prev_ind","UC_change_prev_ind"
"151_Brunei_Brunei_2006",2006,"Brunei","Brunei",0.270079025122751,0,-0.277698095322482,-0.547777120445233,NA,NA,NA,NA,"unclassified","unlabelled","2000-2009",0.270079025122751,0,0,0,-0.277698095322482,-0.547777120445233,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"152_Brunei_Brunei_2007",2007,"Brunei","Brunei",0.533380270797164,0.800070406195745,0.263301245674413,0.800070406195745,NA,NA,NA,NA,"unclassified","unlabelled","2000-2009",0.533380270797164,0.800070406195745,0,0,0.263301245674413,0.800070406195745,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"153_Brunei_Brunei_2008",2008,"Brunei","Brunei",0,0.790684680220759,-0.533380270797164,-0.00938572597498599,NA,NA,NA,NA,"unclassified","unlabelled","2000-2009",0,0.790684680220759,0,0,-0.533380270797164,-0.00938572597498599,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"154_Brunei_Brunei_2009",2009,"Brunei","Brunei",0.520966288271486,0.260483144135743,0.520966288271486,-0.530201536085016,NA,NA,NA,NA,"unclassified","unlabelled","2000-2009",0.520966288271486,0.260483144135743,0,0,0.520966288271486,-0.530201536085016,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"155_Brunei_Brunei_2010",2010,"Brunei","Brunei",0.257311506455946,1.02924602582378,-0.26365478181554,0.768762881688037,NA,NA,NA,NA,"unclassified","unlabelled","2010-2019",0.257311506455946,1.02924602582378,0,0,-0.26365478181554,0.768762881688037,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"156_Brunei_Brunei_2011",2011,"Brunei","Brunei",0,0.254008895391517,-0.257311506455946,-0.775237130432263,NA,NA,NA,NA,"unclassified","unlabelled","2010-2019",0,0.254008895391517,0,0,-0.257311506455946,-0.775237130432263,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"157_Brunei_Brunei_2012",2012,"Brunei","Brunei",0.250628450840483,0.24762761188651,0.250628450840483,-0.006381283505007,NA,NA,NA,NA,"unclassified","unlabelled","2010-2019",0.250628450840483,0.24762761188651,0,0,0.250628450840483,-0.006381283505007,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"158_Brunei_Brunei_2013",2013,"Brunei","Brunei",0.244626772932537,0.864127468075709,-0.00600167790794551,0.616499856189199,NA,NA,NA,NA,"unclassified","unlabelled","2010-2019",0.244626772932537,0.864127468075709,0,0,-0.00600167790794551,0.616499856189199,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"159_Brunei_Brunei_2014",2014,"Brunei","Brunei",0.24403457481856,0,-0.00059219811397701,-0.864127468075709,NA,NA,NA,NA,"unclassified","unlabelled","2010-2019",0.24403457481856,0,0,0,-0.00059219811397701,-0.864127468075709,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"160_Brunei_Brunei_2015",2015,"Brunei","Brunei",0,0.723041401350641,-0.24403457481856,0.723041401350641,NA,NA,NA,NA,"unclassified","unlabelled","2010-2019",0,0.723041401350641,0,0,-0.24403457481856,0.723041401350641,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
