"country","decade","rate_min","rate_max","percentile.0.","percentile.25.","percentile.50.","percentile.75.","percentile.100.","median"
"Philippines","2010-2019",0.142857142857143,0.428571428571429,0.14285714,0.21428571,0.28571429,0.35714286,0.42857143,0.285714285714286
"Poland","2010-2019",12.5171994338727,19.4429238981069,12.51719943,14.07769893,15.43607615,17.13607434,19.4429239,15.4360761497234
"Portugal","1990-1999",1.7,6.4,1.7,2.875,4.05,5.225,6.4,4.05
"Portugal","2010-2019",3.8,6.1,3.8,3.87329238,3.94658477,5.02329238,6.1,4.98664619226326
"Puerto Rico","1990-1999",2.58,4,2.58,2.79,3.13,3.55,4,3.13
"Puerto Rico","2000-2009",5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78
"Romania","2000-2009",0.751215044247257,0.751215044247257,0.75121504,0.75121504,0.75121504,0.75121504,0.75121504,0.751215044247257
"Romania","2010-2019",2.40611841539916,3.7,2.40611842,2.45305921,2.5,3.1,3.7,3.07652960384979
"Russia","2000-2009",1.55,2.54,1.55,1.5725,1.65,1.925,2.54,1.65
"Russia","2010-2019",1.578947,4.83,1.578947,2.36999975,2.875,3.625,4.83,2.875
"San Marino","1980-1989",4.6,6.2,4.6,5,5.4,5.8,6.2,5.4
"San Marino","1990-1999",10,15,10,11.25,12.5,13.75,15,12.5
"San Marino","2000-2009",11.7,16.1,11.7,12.8,13.9,15,16.1,13.9
"San Marino","2010-2019",12,12.4,12,12.1,12.2,12.3,12.4,12.2
"Saudi Arabia","1990-1999",3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
"Scotland","2000-2009",25.3418053254877,27.0664168228191,25.34180533,25.7729582,26.20411107,26.63526395,27.06641682,26.2041110741534
"Scotland","2010-2019",23.4090909090909,28.0892217981843,23.40909091,24.40776021,25.19222832,26.89893535,28.0892218,25.1922283177375
"Serbia","1990-1999",1.81153398703673,1.81153398703673,1.81153399,1.81153399,1.81153399,1.81153399,1.81153399,1.81153398703673
"Singapore","2010-2019",0.657894736842105,0.736842105263158,0.65789474,0.65894737,0.66,0.69842105,0.73684211,0.697894736842105
"South Africa","1970-1979",1.45102781136638,2.66021765417171,1.45102781,1.69286578,1.81378476,2.17654172,2.66021765,1.87424425634824
"South Africa","1980-1989",0.176923076923077,3.34007583308171,0.17692308,2.41701073,2.46256762,2.4862671,3.34007583,2.46256762336751
"South Korea","1980-1989",0.06,0.43,0.06,0.2075,0.265,0.3325,0.43,0.243333333333333
"South Korea","1990-1999",0,2.16,0,0.43061692,0.79,1.295,2.16,0.462283583049958
"South Korea","2000-2009",0.18285246183412,11.02564,0.18285246,2.26,3.62,4.92016737,11.02564,2.76864455149569
